X,Y,Z,A,T,S
-0.03,0.84,0.29,0.02,0.11,12
-0.19,0.99,0.48,0.01,0.11,12
0.06,1.17,0.41,0.09,0.11,12
0.17,0.63,-0.14,0.05,0.11,12
-0.07,1.02,-0.24,0.03,0.11,12
-0.12,0.94,-0.10,0.02,0.11,12
-0.12,0.97,-0.11,0.01,0.11,12
-0.11,1.00,-0.08,0.00,0.11,12
-0.16,0.98,-0.22,0.00,0.11,12
-0.00,0.96,-0.23,0.00,0.11,12
0.03,1.05,-0.12,0.03,0.11,12
0.03,1.01,-0.14,0.02,0.11,12
0.03,0.96,-0.12,0.01,0.11,12
0.01,0.97,-0.12,0.01,0.11,12
0.01,0.98,-0.12,0.00,0.11,12
0.01,0.98,-0.13,0.00,0.11,12
0.02,0.98,-0.14,0.00,0.11,12
0.01,0.98,-0.13,0.00,0.10,12
0.01,0.97,-0.13,0.00,0.10,12
-0.00,0.98,-0.13,0.00,0.10,12
-0.00,0.99,-0.13,0.00,0.10,12
-0.01,0.97,-0.12,0.00,0.10,12
0.00,0.98,-0.12,0.00,0.10,12
0.02,0.98,-0.12,0.00,0.10,12
-0.01,0.99,-0.11,0.00,0.10,12
0.01,0.98,-0.10,0.00,0.10,12
-0.02,0.97,-0.08,0.00,0.10,12
-0.00,1.02,-0.07,0.01,0.10,12
0.01,1.02,-0.00,0.02,0.10,12
-0.04,0.97,0.11,0.01,0.10,12
-0.00,1.00,0.23,0.01,0.10,12
-0.08,0.95,0.24,0.00,0.10,12
-0.08,0.84,0.33,0.00,0.10,12
-0.09,0.84,0.36,0.00,0.10,12
-0.06,0.88,0.42,0.00,0.10,12
-0.02,0.87,0.42,0.00,0.09,12
-0.02,0.92,0.49,0.00,0.09,12
-0.02,1.30,0.29,0.15,0.10,12
0.11,0.82,0.01,0.07,0.10,13
-0.25,0.94,-0.14,0.04,0.10,13
-0.11,0.96,-0.11,0.02,0.10,13
-0.25,0.91,-0.12,0.01,0.10,13
-0.11,0.96,-0.11,0.00,0.10,13
-0.16,0.99,-0.14,0.00,0.10,13
-0.16,1.01,-0.10,0.01,0.10,13
-0.30,1.13,-0.12,0.07,0.10,13
0.06,0.86,-0.09,0.04,0.10,13
-0.04,1.23,0.06,0.13,0.10,13
-0.12,0.82,0.17,0.07,0.10,14
0.01,0.79,0.24,0.03,0.10,14
-0.03,0.78,0.33,0.02,0.10,14
-0.18,0.97,0.50,0.01,0.10,14
0.21,1.69,0.54,0.35,0.10,14
0.28,0.66,-0.11,0.17,0.11,14
-0.13,0.98,-0.19,0.09,0.11,15
-0.15,0.95,-0.10,0.04,0.11,15
-0.17,0.93,-0.10,0.02,0.11,15
-0.14,0.95,-0.13,0.01,0.11,15
-0.18,0.96,-0.15,0.01,0.11,15
-0.26,1.04,-0.14,0.02,0.11,15
-0.16,1.16,-0.12,0.09,0.11,15
0.15,1.01,0.04,0.05,0.11,15
-0.07,0.98,0.09,0.02,0.11,15
-0.05,0.86,0.22,0.01,0.11,15
0.01,0.76,0.25,0.01,0.11,15
-0.06,0.97,0.40,0.00,0.11,15
-0.16,0.83,0.46,0.00,0.11,15
-0.08,1.17,0.14,0.09,0.11,15
-0.08,0.90,0.01,0.04,0.11,15
-0.07,0.89,-0.12,0.02,0.11,15
-0.10,0.96,-0.11,0.01,0.11,15
-0.16,0.94,-0.07,0.01,0.11,15
-0.14,0.97,-0.13,0.00,0.11,15
-0.14,1.02,-0.15,0.01,0.11,15
-0.24,1.23,-0.16,0.12,0.11,15
0.02,0.78,-0.15,0.06,0.11,16
-0.10,1.16,0.00,0.11,0.11,16
-0.08,0.83,0.09,0.06,0.11,17
-0.07,0.86,0.21,0.03,0.11,17
-0.04,0.81,0.26,0.01,0.11,17
-0.15,0.99,0.39,0.01,0.11,17
-0.07,0.83,0.41,0.00,0.11,17
-0.10,1.01,0.10,0.01,0.11,17
0.05,0.80,-0.04,0.00,0.11,17
-0.07,0.92,-0.17,0.00,0.11,17
-0.14,0.94,-0.14,0.00,0.11,17
-0.14,0.93,-0.08,0.00,0.11,17
-0.12,0.94,-0.11,0.00,0.10,17
-0.12,1.02,-0.15,0.01,0.10,17
-0.30,1.01,-0.14,0.01,0.10,17
-0.20,1.18,-0.14,0.10,0.11,17
0.22,0.91,0.02,0.05,0.11,17
-0.17,0.97,0.12,0.02,0.11,17
0.01,0.87,0.16,0.01,0.11,17
-0.02,0.84,0.21,0.01,0.10,17
-0.05,0.89,0.27,0.00,0.10,17
-0.18,1.01,0.38,0.01,0.10,17
-0.06,0.99,0.35,0.00,0.10,17
-0.07,0.72,-0.15,0.00,0.10,17
-0.36,1.10,-0.10,0.05,0.10,17
-0.18,0.86,-0.15,0.02,0.10,17
-0.05,1.06,-0.06,0.04,0.10,17
-0.13,0.97,-0.13,0.02,0.10,17
-0.04,1.01,-0.04,0.01,0.10,17
-0.05,0.96,-0.13,0.01,0.10,17
-0.03,0.93,-0.14,0.00,0.10,17
0.01,0.87,-0.18,0.00,0.10,17
0.04,1.07,-0.13,0.04,0.10,17
0.03,0.99,-0.09,0.02,0.10,17
-0.01,0.96,-0.11,0.01,0.10,17
0.00,1.00,-0.10,0.00,0.10,17
-0.03,0.98,-0.09,0.00,0.10,17
