Steps,Delta,SPM,Activity,Secs
1970,0,0,1,4718
1978,8,15,1,4747
1978,0,0,1,4777
1978,0,0,1,4807
1978,0,0,1,4837
1978,0,0,1,4867
1978,0,0,1,4897
1978,0,0,1,4927
1978,0,0,1,4957
1978,0,0,1,4987
1978,0,0,1,5017
1978,0,0,1,5047
1984,6,11,1,5077
1984,0,0,1,5108
1994,10,19,1,5138
2002,8,15,1,5168
2006,4,7,1,5198
2006,0,0,1,5228
2006,0,0,1,5258
2006,0,0,1,5288
2016,10,19,1,5318
2034,18,35,1,5348
2034,0,0,1,5378
2044,10,19,1,5408
2046,2,133,2,5409
2046,0,0,1,5409
2074,28,55,1,5438
2084,10,19,1,5468
2116,32,63,1,5498
2122,6,902,3,5499
2122,0,0,1,5499
2144,22,43,1,5528
2144,0,0,1,5558
2166,22,43,1,5588
2180,14,27,1,5618
2232,26,51,1,5679
2280,48,91,1,5709
2316,36,71,1,5739
2318,2,300,3,5739
2318,0,0,1,5739
2366,48,95,1,5769
2368,2,200,3,5769
2368,0,0,1,5769
2406,38,75,1,5799
2408,2,398,3,5799
2408,0,0,1,5799
2460,52,99,1,5829
2462,2,133,2,5830
2462,0,0,1,5830
2516,54,107,1,5859
2518,2,603,3,5859
2518,0,0,1,5859
2574,56,111,1,5889
2576,2,300,3,5890
2576,0,0,1,5890
2610,34,67,1,5919
2616,6,451,3,5920
2616,0,0,1,5920
2662,46,91,1,5949
2664,2,400,3,5950
2664,0,0,1,5950
2722,58,115,1,5979
2724,2,597,3,5980
2724,0,0,1,5980
2766,42,83,1,6009
2820,54,107,1,6039
2822,2,239,3,6040
2822,0,0,1,6040
2870,48,95,1,6069
2896,26,52,1,6100
2902,6,451,3,6100
2902,0,0,1,6100
2958,56,111,1,6130
2960,2,239,3,6130
2960,0,0,1,6130
3016,56,111,1,6160
3018,2,398,3,6160
3018,0,0,1,6160
3054,0,0,1,6192
3078,24,47,1,6220
3084,6,225,3,6221
3084,0,0,1,6222
3120,36,71,1,6250
3126,6,900,3,6250
3126,0,0,1,6250
3184,58,115,1,6280
3186,2,149,2,6281
3186,0,0,1,6281
3236,50,120,2,6305
3236,0,0,1,6305
3242,6,11,1,6310
3248,6,128,2,6313
3248,0,0,1,6313
3290,42,83,1,6340
3292,2,150,2,6341
3292,0,0,1,6341
3296,4,120,2,6342
3296,0,0,1,6342
3342,46,91,1,6370
3388,46,91,1,6400
3422,34,67,1,6430
3428,6,717,3,6431
3428,0,0,1,6431
3446,18,35,1,6461
3448,2,199,3,6461
3448,0,0,1,6461
3488,40,79,1,6491
3490,2,299,3,6491
3490,0,0,1,6491
3492,2,133,2,6492
3492,0,0,1,6492
3522,30,59,1,6521
3528,6,256,3,6522
3528,0,0,1,6522
3548,20,39,1,6551
3576,28,55,1,6581
3588,12,23,1,6611
3588,0,0,1,6641
3588,0,0,1,6671
3588,0,0,1,6701
3588,0,0,1,6731
3588,0,0,1,6761
3588,0,0,1,6791
3588,0,0,1,6821
3602,14,27,1,6851
3602,0,0,1,6881
3602,0,0,1,6912
3602,0,0,1,6942
3602,0,0,1,6972
3602,0,0,1,7002
3602,0,0,1,7032
3606,4,7,1,7062
3612,6,11,1,7092
3612,0,0,1,7122
3612,0,0,1,7152
3612,0,0,1,7182
3612,0,0,1,7212
3612,0,0,1,7242
3612,0,0,1,7272
3612,0,0,1,7302
3612,0,0,1,7332
3612,0,0,1,7362
3612,0,0,1,7392
3612,0,0,1,7422
3612,0,0,1,7452
3612,0,0,1,7482
3612,0,0,1,7512
3612,0,0,1,7542
3620,8,15,1,7572
3620,0,0,1,7602
3620,0,0,1,7632
3620,0,0,1,7662
3620,0,0,1,7692
3642,22,43,1,7723
3644,2,150,2,7723
3644,0,0,1,7723
3654,10,19,1,7753
3654,0,0,1,7783
3654,0,0,1,7813
3654,0,0,1,7843
3654,0,0,1,7873
3654,0,0,1,7903
3654,0,0,1,7933
3654,0,0,1,7963
3654,0,0,1,7993
3654,0,0,1,8023
3654,0,0,1,8053
3654,0,0,1,8083
3654,0,0,1,8113
3654,0,0,1,8143
3654,0,0,1,8173
3654,0,0,1,8203
3654,0,0,1,8233
3654,0,0,1,8263
3654,0,0,1,8293
3654,0,0,1,8323
3654,0,0,1,8353
3660,6,11,1,8383
3660,0,0,1,8413
3660,0,0,1,8444
3660,0,0,1,8474
3660,0,0,1,8504
3662,2,3,1,8534
3662,0,0,1,8564
3662,0,0,1,8594
3662,0,0,1,8624
3662,0,0,1,8654
3662,0,0,1,8684
3662,0,0,1,8714
3662,0,0,1,8744
3708,46,91,1,8774
3710,2,120,2,8775
3710,0,0,1,8775
3714,4,7,1,8804
3714,0,0,1,8834
3714,0,0,1,8864
3714,0,0,1,8894
3714,0,0,1,8924
3714,0,0,1,8954
3714,0,0,1,8984
3714,0,0,1,9014
3714,0,0,1,9044
3714,0,0,1,9074
3714,0,0,1,9104
3714,0,0,1,9134
3714,0,0,1,9164
3714,0,0,1,9194
3714,0,0,1,9224
3714,0,0,1,9255
3714,0,0,1,9285
3714,0,0,1,9315
3714,0,0,1,9345
3722,8,15,1,9375
3722,0,0,1,9405
3728,6,11,1,9435
3734,6,7,1,9465
3754,20,39,1,9495
3774,20,39,1,9525
3782,8,15,1,9555
3788,6,257,3,9557
3788,0,0,1,9557
3808,20,40,1,9585
3810,2,983,3,9586
3810,0,0,1,9586
3820,10,20,1,9615
